Unnamed: 0,class,type,date,value,percentage,aacc,unit
0,,Renovable,2014-01-01,303.396,0.0004205498316037,Canarias,MWh
1,oil_gas,No-Renovable,2014-01-01,181768.586,0.2519570074528068,Canarias,MWh
2,oil_gas,No-Renovable,2014-01-01,26245.404,0.0363798475674444,Canarias,MWh
3,oil_gas,No-Renovable,2014-01-01,216697.507,0.3003734395898511,Canarias,MWh
4,oil_gas,No-Renovable,2014-01-01,247173.544,0.3426175437583294,Canarias,MWh
5,hydropower,Renovable,2014-06-01,2.02,2.943082000482888e-06,Canarias,MWh
6,,Renovable,2014-01-01,29456.386,0.0408307234503917,Canarias,MWh
7,solar,Renovable,2014-01-01,18995.297,0.026330172298294,Canarias,MWh
8,bioenergy,Renovable,2014-01-01,786.872,0.0010907160512785,Canarias,MWh
9,others,Generación total,2014-01-01,721426.9920000001,1.0,Canarias,MWh
10,coal,No-Renovable,2014-01-01,183089.327,0.5613371140288812,Baleares,MWh
11,oil_gas,No-Renovable,2014-01-01,57672.186,0.176818272148528,Baleares,MWh
12,oil_gas,No-Renovable,2014-01-01,28626.27,0.087765835674362,Baleares,MWh
13,oil_gas,No-Renovable,2014-01-01,32275.425,0.0989538506717849,Baleares,MWh
14,,Renovable,2014-01-01,586.691,0.0017987473009102,Baleares,MWh
15,solar,Renovable,2014-01-01,5827.915,0.0178679174832819,Baleares,MWh
16,bioenergy,Renovable,2014-01-01,123.037,0.0003772215214859,Baleares,MWh
17,oil_gas,No-Renovable,2014-01-01,2086.281,0.0063963693284714,Baleares,MWh
18,coal,No-Renovable,2014-01-01,7939.653,0.0243423359211471,Baleares,MWh
19,bioenergy,Renovable,2014-01-01,7939.653,0.0243423359211471,Baleares,MWh
20,others,Generación total,2014-01-01,326166.438,1.0,Baleares,MWh
21,oil_gas,No-Renovable,2014-01-01,18803.239,0.9998643502878636,Ceuta,MWh
22,oil_gas,No-Renovable,2014-01-01,2.551,0.0001356497121365,Ceuta,MWh
23,others,Generación total,2014-01-01,18805.79,1.0,Ceuta,MWh
24,oil_gas,No-Renovable,2014-01-01,17113.974,0.9507976734588932,Melilla,MWh
25,oil_gas,No-Renovable,2014-01-01,3.26,0.0001811151761406,Melilla,MWh
