,class,type,date,value,percentage,aacc,comunidad
0,Hidráulica,Renovable,2014-01-01,303.396,0.0004205498316037501,8742,Canarias
1,Motores diésel,No-Renovable,2014-01-01,181768.586,0.2519570074528068,8742,Canarias
2,Turbina de gas,No-Renovable,2014-01-01,26245.404,0.03637984756744449,8742,Canarias
3,Turbina de vapor,No-Renovable,2014-01-01,216697.507,0.3003734395898511,8742,Canarias
4,Ciclo combinado,No-Renovable,2014-01-01,247173.544,0.3426175437583294,8742,Canarias
5,Hidroeólica,Renovable,2014-06-01,2.02,2.9430820004828873e-06,8742,Canarias
6,Eólica,Renovable,2014-01-01,29456.386,0.04083072345039177,8742,Canarias
7,Solar fotovoltaica,Renovable,2014-01-01,18995.297,0.02633017229829404,8742,Canarias
8,Otras renovables,Renovable,2014-01-01,786.872,0.001090716051278547,8742,Canarias
9,Generación total,Generación total,2014-01-01,721426.9920000001,1.0,8742,Canarias
10,Carbón,No-Renovable,2014-01-01,183089.327,0.5613371140288812,8743,Baleares
11,Motores diésel,No-Renovable,2014-01-01,57672.186,0.17681827214852808,8743,Baleares
12,Turbina de gas,No-Renovable,2014-01-01,28626.27,0.08776583567436207,8743,Baleares
13,Ciclo combinado,No-Renovable,2014-01-01,32275.425,0.09895385067178494,8743,Baleares
14,Eólica,Renovable,2014-01-01,586.691,0.0017987473009102185,8743,Baleares
15,Solar fotovoltaica,Renovable,2014-01-01,5827.915,0.017867917483281957,8743,Baleares
16,Otras renovables,Renovable,2014-01-01,123.037,0.0003772215214859109,8743,Baleares
17,Cogeneración,No-Renovable,2014-01-01,2086.281,0.006396369328471497,8743,Baleares
18,Residuos no renovables,No-Renovable,2014-01-01,7939.653,0.02434233592114711,8743,Baleares
19,Residuos renovables,Renovable,2014-01-01,7939.653,0.02434233592114711,8743,Baleares
20,Generación total,Generación total,2014-01-01,326166.43799999997,1.0,8743,Baleares
21,Motores diésel,No-Renovable,2014-01-01,18803.239,0.9998643502878635,8744,Ceuta
22,Turbina de gas,No-Renovable,2014-01-01,2.551,0.00013564971213652816,8744,Ceuta
23,Generación total,Generación total,2014-01-01,18805.79,1.0,8744,Ceuta
24,Motores diésel,No-Renovable,2014-01-01,17113.974,0.9507976734588932,8745,Melilla
25,Turbina de gas,No-Renovable,2014-01-01,3.26,0.00018111517614062005,8745,Melilla
