class,type,date,value,percentage,aacc
Hidráulica,Renovable,2014-01-01,303.396,0.0004205498316037501,Canarias
Motores diésel,No-Renovable,2014-01-01,181768.586,0.2519570074528068,Canarias
Turbina de gas,No-Renovable,2014-01-01,26245.404,0.03637984756744449,Canarias
Turbina de vapor,No-Renovable,2014-01-01,216697.507,0.3003734395898511,Canarias
Ciclo combinado,No-Renovable,2014-01-01,247173.544,0.3426175437583294,Canarias
Hidroeólica,Renovable,2014-06-01,2.02,2.9430820004828873e-06,Canarias
Eólica,Renovable,2014-01-01,29456.386,0.04083072345039177,Canarias
Solar fotovoltaica,Renovable,2014-01-01,18995.297,0.02633017229829404,Canarias
Otras renovables,Renovable,2014-01-01,786.872,0.001090716051278547,Canarias
Generación total,Generación total,2014-01-01,721426.9920000001,1.0,Canarias
Carbón,No-Renovable,2014-01-01,183089.327,0.5613371140288812,Baleares
Motores diésel,No-Renovable,2014-01-01,57672.186,0.17681827214852808,Baleares
Turbina de gas,No-Renovable,2014-01-01,28626.27,0.08776583567436207,Baleares
Ciclo combinado,No-Renovable,2014-01-01,32275.425,0.09895385067178494,Baleares
Eólica,Renovable,2014-01-01,586.691,0.0017987473009102185,Baleares
Solar fotovoltaica,Renovable,2014-01-01,5827.915,0.017867917483281957,Baleares
Otras renovables,Renovable,2014-01-01,123.037,0.0003772215214859109,Baleares
Cogeneración,No-Renovable,2014-01-01,2086.281,0.006396369328471497,Baleares
Residuos no renovables,No-Renovable,2014-01-01,7939.653,0.02434233592114711,Baleares
Residuos renovables,Renovable,2014-01-01,7939.653,0.02434233592114711,Baleares
Generación total,Generación total,2014-01-01,326166.43799999997,1.0,Baleares
Motores diésel,No-Renovable,2014-01-01,18803.239,0.9998643502878635,Ceuta
Turbina de gas,No-Renovable,2014-01-01,2.551,0.00013564971213652816,Ceuta
Generación total,Generación total,2014-01-01,18805.79,1.0,Ceuta
Motores diésel,No-Renovable,2014-01-01,17113.974,0.9507976734588932,Melilla
Turbina de gas,No-Renovable,2014-01-01,3.26,0.00018111517614062005,Melilla
Solar fotovoltaica,Renovable,2014-01-01,4.479,0.0002488389183846127,Melilla
Residuos no renovables,No-Renovable,2014-01-01,438.9415,0.024386186223290793,Melilla
Residuos renovables,Renovable,2014-01-01,438.9415,0.024386186223290793,Melilla
Generación total,Generación total,2014-01-01,17999.595999999998,1.0,Melilla
Hidráulica,Renovable,2014-01-01,57178.461,0.021807240903962247,Andalucía
Turbinación bombeo,No-Renovable,2014-01-01,43873.917,0.016733033045773033,Andalucía
Carbón,No-Renovable,2014-01-01,683384.933,0.2606355540781186,Andalucía
Ciclo combinado,No-Renovable,2014-01-01,346973.355,0.1323318502703494,Andalucía
Eólica,Renovable,2014-01-01,718193.982,0.2739113454146645,Andalucía
Solar fotovoltaica,Renovable,2014-01-01,77632.84,0.02960831778838462,Andalucía
Solar térmica,Renovable,2014-01-01,42489.531,0.016205043336395008,Andalucía
Otras renovables,Renovable,2014-01-01,152927.1,0.05832472669112806,Andalucía
