zone,surface_km_2,aacc,03_sufr,production
MIÑO-SIL,121.82,Galicia,36.546,26313.12
GALICIA COSTA,43.81,Galicia,13.143,9462.960000000001
CUENCAS INTERNAS PAIS VASCO,1.89,Pais Vasco,0.567,408.23999999999995
CANTÁBRICO,26.78,Cantabria,8.034,5784.4800000000005
DUERO,348.72,Castilla-Leon,104.616,75323.52
TAJO,570.21,Extremadura,171.06300000000002,123165.36000000002
GUADIANA,864.94,Extremadura,259.482,186827.04
GUADALQUIVIR,376.79,Andalucia,113.037,81386.64
CUENCAS MEDITERRÁNEAS ANDALUZAS,56.85,Andalucia,17.055,12279.6
GUADALETE Y BARBATE,112.32,Andalucia,33.696,24261.12
"TINTO,ODIEL Y PIEDRAS",29.76,Andalucia,8.928,6428.160000000001
SEGURA,70.45,Murcia,21.135,15217.2
JUCAR,170.99,Valencia,51.297000000000004,36933.840000000004
ALTO EBRO,211.91000000000005,Cantabria,63.573000000000015,45772.56000000001
EBRO,210.2,Aragon,63.059999999999995,45403.2
CUENCAS INTERNAS DE CATALUÑA,25.25,Cataluña,7.574999999999999,5453.999999999999
BALEARES,1.17,Baleares,0.351,252.71999999999997
GRAN CANARIA,3.6,Canarias,1.08,777.6
FUERTEVENTURA,0.2,Canarias,0.06,43.199999999999996
LANZAROTE,0.01,Canarias,0.003,2.16
TENERIFE,0.8,Canarias,0.24,172.79999999999998
LA PALMA,0.26,Canarias,0.078,56.16
GOMERA,0.3,Canarias,0.09,64.8
EL HIERRO,0.0,Canarias,0.0,0.0
CEUTA,0.15,Ceuta,0.045,32.4
