project,type,country,unit,status,capacity,start_year,owner,lat,lng,url,aacc
Aboño power station,coal,Spain,MWh,operating,259200.0,1974.0,HC Energia,43.55356,-5.72185,https://www.gem.wiki/Abo%C3%B1o_power_station,Asturias
Aboño power station,coal,Spain,MWh,operating,400464.00000000006,1985.0,HC Energia,43.55356,-5.72185,https://www.gem.wiki/Abo%C3%B1o_power_station,Asturias
Alcúdia power station,coal,Spain,MWh,retired,90000.0,1981.0,GESA-Endesa,39.81075,3.09141,https://www.gem.wiki/Alcúdia_power_station,Baleares
Alcúdia power station,coal,Spain,MWh,retired,90000.0,1982.0,GESA-Endesa,39.81075,3.09141,https://www.gem.wiki/Alcúdia_power_station,Baleares
Alcúdia power station,coal,Spain,MWh,operating,93600.0,1997.0,GESA-Endesa,39.81075,3.09141,https://www.gem.wiki/Alcúdia_power_station,Baleares
Alcúdia power station,coal,Spain,MWh,operating,93600.0,1997.0,GESA-Endesa,39.81075,3.09141,https://www.gem.wiki/Alcúdia_power_station,Baleares
Anllares power station,coal,Spain,MWh,retired,262800.0,1982.0,Termicas de Anllares,42.83926,-6.53328,https://www.gem.wiki/Anllares_power_station,Castilla_León
As Pontes power station,coal,Spain,MWh,operating,265608.0,1976.0,Endesa SA,43.44139,-7.86258,https://www.gem.wiki/As_Pontes_power_station,Galicia
As Pontes power station,coal,Spain,MWh,operating,263808.0,1977.0,Endesa SA,43.44139,-7.86258,https://www.gem.wiki/As_Pontes_power_station,Galicia
As Pontes power station,coal,Spain,MWh,retired,263664.0,1978.0,Endesa SA,43.44139,-7.86258,https://www.gem.wiki/As_Pontes_power_station,Galicia
As Pontes power station,coal,Spain,MWh,retired,264240.0,1979.0,Endesa SA,43.44139,-7.86258,https://www.gem.wiki/As_Pontes_power_station,Galicia
Bahia de Algeciras power station,coal,Spain,MWh,retired,158400.0,1970.0,Uniper SE,36.184,-5.388,https://www.gem.wiki/Bahia_de_Algeciras_power_station,Andalucía
Bahia de Algeciras power station,coal,Spain,MWh,retired,383760.0,1975.0,Uniper SE,36.184,-5.388,https://www.gem.wiki/Bahia_de_Algeciras_power_station,Andalucía
Cercs power station,coal,Spain,MWh,retired,115200.0,1971.0,E.ON SE,42.1757,1.85681,https://www.gem.wiki/Cercs_power_station,Cataluña
Cogecan power station,coal,Spain,MWh,operating,32400.0,1986.0,Sniace SA,43.34901,-4.04713,https://www.gem.wiki/Cogecan_power_station,Cantabria
Compostilla power station,coal,Spain,MWh,retired,101520.0,1961.0,Endesa SA,42.61218,-6.56455,https://www.gem.wiki/Compostilla_power_station,Castilla_León
Compostilla power station,coal,Spain,MWh,retired,106488.0,1965.0,Endesa SA,42.61218,-6.56455,https://www.gem.wiki/Compostilla_power_station,Castilla_León
Compostilla power station,coal,Spain,MWh,retired,242784.0,1972.0,Endesa SA,42.61218,-6.56455,https://www.gem.wiki/Compostilla_power_station,Castilla_León
Compostilla power station,coal,Spain,MWh,retired,258192.00000000003,1981.0,Endesa SA,42.61218,-6.56455,https://www.gem.wiki/Compostilla_power_station,Castilla_León
Compostilla power station,coal,Spain,MWh,retired,256247.99999999997,1984.0,Endesa SA,42.61218,-6.56455,https://www.gem.wiki/Compostilla_power_station,Castilla_León
Escatrón 3 power station,coal,Spain,MWh,retired,57600.0,1953.0,Macquarie Viesgo,41.2971,-0.3399,https://www.gem.wiki/Escatr%C3%B3n_3_power_station,Aragón
Escucha power station,coal,Spain,MWh,retired,115200.0,1970.0,Macquarie Viesgo,40.79449,-0.81563,https://www.gem.wiki/Escucha_power_station,Aragón
La Pereda Hunosa power station,coal,Spain,MWh,operating,36000.0,1995.0,Hulleras Del Norte SA,43.2473,-5.75456,https://www.gem.wiki/La_Pereda_Hunosa_power_station,Asturias
La Robla Fenosa power station,coal,Spain,MWh,retired,204480.0,1971.0,Gas Natural Fenosa,42.79199,-5.63492,https://www.gem.wiki/La_Robla_Fenosa_power_station,Castilla_León
La Robla Fenosa power station,coal,Spain,MWh,retired,267120.0,1984.0,Gas Natural Fenosa,42.79199,-5.63492,https://www.gem.wiki/La_Robla_Fenosa_power_station,Castilla_León
Lada power station,coal,Spain,MWh,retired,111600.0,1967.0,Iberdrola SA,43.29636,-5.68254,https://www.gem.wiki/Lada_power_station,Asturias
Lada power station,coal,Spain,MWh,retired,257760.0,1981.0,Iberdrola SA,43.29636,-5.68254,https://www.gem.wiki/Lada_power_station,Asturias
Lada power station,coal,Spain,MWh,retired,36000.0,1951.0,Iberdrola SA,43.29636,-5.68254,https://www.gem.wiki/Lada_power_station,Asturias
Litoral de Almería power station,coal,Spain,MWh,retired,415440.0,1985.0,Endesa SA,36.97838,-1.905,https://www.gem.wiki/Litoral_de_Almería_power_station,Andalucía
Litoral de Almería power station,coal,Spain,MWh,retired,419040.0,1997.0,Endesa SA,36.97838,-1.905,https://www.gem.wiki/Litoral_de_Almería_power_station,Andalucía
Los Barrios power station,coal,Spain,MWh,operating,424080.0,1985.0,Viesgo Infraestructuras Energeticas SL,36.1828,-5.42,https://www.gem.wiki/Los_Barrios_power_station,Andalucía
Los Barrios power station,coal,Spain,MWh,cancelled,576000.0,,Endesa SA,36.1828,-5.42,https://www.gem.wiki/Los_Barrios_power_station,Andalucía
