,class,type,date,value,percentage,aacc
0,Demanda,,2014-01-01,721426.992,1,Canarias
1,Demanda,,2014-01-01,424810.96,1,Baleares
2,Demanda,,2014-01-01,18805.79,1,Ceuta
3,Demanda,,2014-01-01,17999.596,1,Melilla
4,Demanda,,2014-01-01,3406748.087,1,Andalucía
5,Demanda,,2014-01-01,882108.476,1,Aragón
6,Demanda,,2014-01-01,343029.447,1,Cantabria
7,Demanda,,2014-01-01,1045902.927,1,Castilla_la_Mancha
8,Demanda,,2014-01-01,1240207.395,1,Castilla_León
9,Demanda,,2014-01-01,4100446.945,1,Cataluña
10,Demanda,,2014-01-01,1482887.713,1,País_Vasco
11,Demanda,,2014-01-01,926940.981,1,Asturias
12,Demanda,,2014-01-01,2752590.443,1,Madrid
13,Demanda,,2014-01-01,426554.33,1,Navarra
14,Demanda,,2014-01-01,2282883.885,1,Valenciana
15,Demanda,,2014-01-01,437647.639,1,Extremadura
16,Demanda,,2014-01-01,1822607.31,1,Galicia
17,Demanda,,2014-01-01,153405.823,1,La_Rioja
18,Demanda,,2014-01-01,714366.236,1,Murcia
19,Demanda,,2015-01-01,728282.214,1,Canarias
20,Demanda,,2015-01-01,450337.744,1,Baleares
21,Demanda,,2015-01-01,18698.456,1,Ceuta
22,Demanda,,2015-01-01,18439.342,1,Melilla
23,Demanda,,2015-01-01,3485428.721,1,Andalucía
24,Demanda,,2015-01-01,903645.512,1,Aragón
25,Demanda,,2015-01-01,374887.914,1,Cantabria
26,Demanda,,2015-01-01,1069550.84,1,Castilla_la_Mancha
27,Demanda,,2015-01-01,1265447.012,1,Castilla_León
28,Demanda,,2015-01-01,4166773.739,1,Cataluña
29,Demanda,,2015-01-01,1565679.743,1,País_Vasco
30,Demanda,,2015-01-01,956258.03,1,Asturias
31,Demanda,,2015-01-01,2785644.732,1,Madrid
32,Demanda,,2015-01-01,426410.719,1,Navarra
33,Demanda,,2015-01-01,2391973.644,1,Valenciana
34,Demanda,,2015-01-01,456054.476,1,Extremadura
35,Demanda,,2015-01-01,1865880.341,1,Galicia
36,Demanda,,2015-01-01,155901.049,1,La_Rioja
37,Demanda,,2015-01-01,765484.164,1,Murcia
38,Demanda,,2016-01-01,724877.676,1,Canarias
39,Demanda,,2016-01-01,409886.464,1,Baleares
40,Demanda,,2016-01-01,17311.162,1,Ceuta
41,Demanda,,2016-01-01,17057.436,1,Melilla
42,Demanda,,2016-01-01,3305940.578,1,Andalucía
43,Demanda,,2016-01-01,879275.459,1,Aragón
44,Demanda,,2016-01-01,297997.119,1,Cantabria
45,Demanda,,2016-01-01,980802.01,1,Castilla_la_Mancha
46,Demanda,,2016-01-01,1225929.976,1,Castilla_León
47,Demanda,,2016-01-01,3979236.621,1,Cataluña
48,Demanda,,2016-01-01,1469943.556,1,País_Vasco
49,Demanda,,2016-01-01,917147.058,1,Asturias
50,Demanda,,2016-01-01,2626001.248,1,Madrid
51,Demanda,,2016-01-01,416668.673,1,Navarra
52,Demanda,,2016-01-01,2267972.157,1,Valenciana
53,Demanda,,2016-01-01,430131.453,1,Extremadura
54,Demanda,,2016-01-01,1776455.948,1,Galicia
55,Demanda,,2016-01-01,151567.234,1,La_Rioja
56,Demanda,,2016-01-01,738822.756,1,Murcia
57,Demanda,,2017-01-01,745407.228,1,Canarias
58,Demanda,,2017-01-01,477380.4,1,Baleares
59,Demanda,,2017-01-01,18540.055,1,Ceuta
60,Demanda,,2017-01-01,18568.292,1,Melilla
61,Demanda,,2017-01-01,3630139.835,1,Andalucía
62,Demanda,,2017-01-01,935721.866,1,Aragón
63,Demanda,,2017-01-01,381804.591,1,Cantabria
64,Demanda,,2017-01-01,1061646.481,1,Castilla_la_Mancha
65,Demanda,,2017-01-01,1282078.402,1,Castilla_León
66,Demanda,,2017-01-01,4327712.209,1,Cataluña
67,Demanda,,2017-01-01,1539208.76,1,País_Vasco
68,Demanda,,2017-01-01,954740.085,1,Asturias
69,Demanda,,2017-01-01,2783035.02,1,Madrid
70,Demanda,,2017-01-01,452567.634,1,Navarra
71,Demanda,,2017-01-01,2462847.842,1,Valenciana
72,Demanda,,2017-01-01,458153.293,1,Extremadura
73,Demanda,,2017-01-01,1865725.421,1,Galicia
74,Demanda,,2017-01-01,157474.283,1,La_Rioja
75,Demanda,,2017-01-01,785471.791,1,Murcia
76,Demanda,,2018-01-01,755287.211,1,Canarias
