project,unit,fuel1,fuel2,fuel3,capacity,status,start_year,conversion,owner,operator,country,url,lat,lng,accuracy,conversion_year,type
Kenana power station,1,bioenergy_-_agricultural_waste,,,76.0,operating,,no conversion,Kenana Sugar Company,,Sudan,https://gem.wiki/Kenana_power_station,13.0743,32.9279,exact,,bioenergy
White Nile Sugar Factory power station,3,bioenergy_-_agricultural_waste,,,31.0,operating,2012.0,no conversion,Kenana Sugar Company [30%],White Nile Sugar Company,Sudan,https://gem.wiki/White_Nile_Sugar_Factory_power_station,14.0721,32.4686,exact,,bioenergy
White Nile Sugar Factory power station,4,bioenergy_-_agricultural_waste,,,31.0,operating,2012.0,no conversion,Kenana Sugar Company [30%],White Nile Sugar Company,Sudan,https://gem.wiki/White_Nile_Sugar_Factory_power_station,14.0721,32.4686,exact,,bioenergy
Biocom power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,100.0,operating,2014.0,no conversion,Companhia de Bioenergia de Angola (Biocom),,Angola,https://gem.wiki/Biocom_power_station,-9.5806,15.7225,exact,,bioenergy
Luanda power station,1,bioenergy_-_refuse,,,30.0,cancelled,,no conversion,,,Angola,https://gem.wiki/Luanda_power_station,-8.8437,13.3064,approximate,,bioenergy
Divo power station,1,bioenergy_-_agricultural_waste,,,65.0,construction,2023.0,no conversion,Société des Energies Nouvelles,,Côte d'Ivoire,https://gem.wiki/Divo_power_station,5.8415,-5.3619,approximate,,bioenergy
CREC Renewable Energy Park power station,1,bioenergy_-_refuse,,,35.0,pre-construction,,no conversion,CR Energy Concepts,,Djibouti,https://gem.wiki/CREC_Renewable_Energy_Park_power_station,11.4794,43.1878,approximate,,bioenergy
Makelele Biogas power station,1,bioenergy_-_agricultural_waste,,,60.0,pre-construction,,no conversion,,,DR Congo,https://gem.wiki/Makelele_Biogas_power_station,-1.7567,29.0186,approximate,,bioenergy
Simunye Sugar Cogeneration power station,4,bioenergy_-_agricultural_waste,,,30.0,operating,,no conversion,Royal Eswatini Sugar Corporation,,Eswatini,https://gem.wiki/Simunye_Sugar_Cogeneration_power_station,-26.1766,31.9079,exact,,bioenergy
Ubombo Sugar Mill power station,1,bioenergy_-_agricultural_waste,,,40.0,operating,,no conversion,Ubombo Sugar LTD,,Eswatini,https://gem.wiki/Ubombo_Sugar_Mill_power_station,-26.7756,31.9386,exact,,bioenergy
Usutu power station,1,bioenergy_-_wood_and_other_biomass,bioenergy_-_agricultural_waste,,35.0,announced,2026.0,no conversion,Montigny,,Eswatini,https://gem.wiki/Usutu_power_station,-26.5317,31.0081,exact,,bioenergy
Finchaa Sugar Factory power station,1,bioenergy_-_agricultural_waste,,,31.0,operating,,no conversion,Ethiopian Government,,Ethiopia,https://gem.wiki/Finchaa_Sugar_Factory_power_station,9.7947,37.4199,exact,,bioenergy
Omo Kuraz 1 Sugar Factory power station,1,bioenergy_-_agricultural_waste,,,35.0,construction,,no conversion,Ethiopian Sugar Industry Group,,Ethiopia,https://gem.wiki/Omo_Kuraz_1_Sugar_Factory_power_station,6.118,35.9903,exact,,bioenergy
Omo Kuraz 2 Sugar Factory power station,1,bioenergy_-_agricultural_waste,,,60.0,operating,2017.0,no conversion,Ethiopian Sugar Industry Group,,Ethiopia,https://gem.wiki/Omo_Kuraz_2_Sugar_Factory_power_station,6.0871,35.9171,approximate,,bioenergy
Omo Kuraz 3 Sugar Factory power station,1,bioenergy_-_agricultural_waste,,,76.0,operating,2018.0,no conversion,Ethiopian Sugar Industry Group,,Ethiopia,https://gem.wiki/Omo_Kuraz_3_Sugar_Factory_power_station,5.9683,36.0102,approximate,,bioenergy
Tana Beles Sugar Factory power station,1,bioenergy_-_agricultural_waste,,,45.0,operating,2021.0,no conversion,,,Ethiopia,https://gem.wiki/Tana_Beles_Sugar_Factory_power_station,11.5655,36.461,exact,,bioenergy
Tendeho Sugar Factory power station,1,bioenergy_-_agricultural_waste,,,60.0,mothballed,2014.0,no conversion,Ethiopian Sugar Industry Group,,Ethiopia,https://gem.wiki/Tendeho_Sugar_Factory_power_station,11.5504,41.3893,exact,,bioenergy
Tendeho Sugar Factory power station,2,bioenergy_-_agricultural_waste,,,80.0,shelved,,no conversion,Ethiopian Sugar Industry Group,,Ethiopia,https://gem.wiki/Tendeho_Sugar_Factory_power_station,11.5504,41.3893,exact,,bioenergy
Welkait Sugar Factory power station,1,bioenergy_-_agricultural_waste,,,30.0,shelved,,no conversion,,,Ethiopia,https://gem.wiki/Welkait_Sugar_Factory_power_station,13.7421,37.7947,exact,,bioenergy
Welkait Sugar Factory power station,2,bioenergy_-_agricultural_waste,,,30.0,shelved,,no conversion,,,Ethiopia,https://gem.wiki/Welkait_Sugar_Factory_power_station,13.7421,37.7947,exact,,bioenergy
Welkait Sugar Factory power station,3,bioenergy_-_agricultural_waste,,,30.0,shelved,,no conversion,,,Ethiopia,https://gem.wiki/Welkait_Sugar_Factory_power_station,13.7421,37.7947,exact,,bioenergy
Welkait Sugar Factory power station,4,bioenergy_-_agricultural_waste,,,30.0,shelved,,no conversion,,,Ethiopia,https://gem.wiki/Welkait_Sugar_Factory_power_station,13.7421,37.7947,exact,,bioenergy
Wonji Shoa Sugar Factory power station,1,bioenergy_-_agricultural_waste,,,31.0,operating,2013.0,no conversion,Ethiopian Government,,Ethiopia,https://gem.wiki/Wonji_Shoa_Sugar_Factory_power_station,8.377,39.3095,exact,,bioenergy
Atebubu power station,1,bioenergy_-_wood_and_other_biomass,,,60.0,construction,2023.0,no conversion,Africa Plantation for Sustainable Development,,Ghana,https://gem.wiki/Atebubu_power_station,7.7542,-0.9844,exact,,bioenergy
Tema W2E power station,1,bioenergy_-_refuse,,,60.0,cancelled,,no conversion,Armech Africa LTD,,Ghana,https://gem.wiki/Tema_W2E_power_station,5.7355,0.0316,approximate,,bioenergy
Mansôa power station,1,bioenergy_-_agricultural_waste,,,30.0,cancelled,,no conversion,Shenyang Lan Sa Trading CO LTD,,Guinea-Bissau,https://gem.wiki/Mansôa_power_station,12.0817,-15.3201,approximate,,bioenergy
Dandora Waste-to-Energy power station,1,bioenergy_-_refuse,,,45.0,pre-construction,,no conversion,Kenya Electricity Generating Company (KenGen),,Kenya,https://gem.wiki/Dandora_Waste-to-Energy_power_station,-1.2428,37.0157,approximate,,bioenergy
Mumias Sugar Company power station,1,bioenergy_-_agricultural_waste,,,34.0,operating,1971.0,no conversion,Sarrai Group,,Kenya,https://gem.wiki/Mumias_Sugar_Company_power_station,0.3643,34.5052,exact,,bioenergy
Blantyre Waste to Energy power station,1,bioenergy_-_refuse,,,50.0,shelved,,no conversion,Afro Renewable Energy Group (AREG),,Malawi,https://gem.wiki/Blantyre_Waste_to_Energy_power_station,-15.7755,35.0402,approximate,,bioenergy
Bamako Waste to Energy power station,1,bioenergy_-_refuse,,,40.0,shelved,,no conversion,,,Mali,https://gem.wiki/Bamako_Waste_to_Energy_power_station,12.599,-8.001,approximate,,bioenergy
Otjikoto Biomass power station,1,bioenergy_-_agricultural_waste,,,40.0,pre-construction,,no conversion,NamPower,NamPower,Namibia,https://gem.wiki/Ojikoto_Biomass_power_station,-19.2269,17.7363,approximate,,bioenergy
Otjiwarongo power station,1,bioenergy_-_wood_and_other_biomass,,,40.0,pre-construction,2023.0,no conversion,NamPower,,Namibia,https://gem.wiki/Otjiwarongo_power_station,-20.4482,16.6565,approximate,,bioenergy
Bois-Rouge power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,construction,1992.0,coal to bioenergy conversion,Albioma,,Réunion,https://www.gem.wiki/Bois-Rouge_power_stationn,-20.9143,55.6359,exact,2023.0,bioenergy
Bois-Rouge power station,2,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,construction,1992.0,coal to bioenergy conversion,Albioma,,Réunion,https://www.gem.wiki/Bois-Rouge_power_station,-20.9143,55.6359,exact,2023.0,bioenergy
Le Gol power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,32.0,announced,1995.0,coal to bioenergy conversion,Albioma,,Réunion,https://www.gem.wiki/Le_Gol_power_station,-21.2791,55.398,exact,2024.0,bioenergy
Le Gol power station,2,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,32.0,announced,1995.0,coal to bioenergy conversion,Albioma,,Réunion,https://www.gem.wiki/Le_Gol_power_station,-21.2791,55.398,exact,2024.0,bioenergy
Saint-Pierre power station,1,bioenergy_-_ethanol,,,41.0,operating,2019.0,no conversion,Albioma,,Réunion,https://gem.wiki/Saint-Pierre_power_station,-21.3176,55.4512,exact,,bioenergy
Makeni Bioethanol Plant power station,1,bioenergy_-_agricultural_waste,,,32.0,operating,2014.0,no conversion,Sunbird Bioenergy Sierra Leone LTD [75%]; Addax Bioenergy [25%],Sunbird Bioenergy Sierra Leone LTD,Sierra Leone,https://gem.wiki/Makeni_Bioethanol_Plant_power_station,8.7123,-12.2359,exact,,bioenergy
Mufindi Paper Mills power station,2,bioenergy_-_wood_and_other_biomass,,,36.0,cancelled,,no conversion,Mufindi Paper Mills LTD,,Tanzania,https://gem.wiki/Mufindi_Paper_Mills_power_station,-8.7283,35.2911,exact,,bioenergy
Kakira Sugar power station,4,bioenergy_-_agricultural_waste,,,30.0,operating,2014.0,no conversion,Kakira Sugar LTD,Kakira Sugar LTD,Uganda,https://gem.wiki/Kakira_Sugar_power_station,0.5089,33.29,exact,,bioenergy
Nakambala power station,1,bioenergy_-_agricultural_waste,,,40.0,operating,2010.0,no conversion,Zambia Sugar Company,,Zambia,https://gem.wiki/Nakambala_power_station,-15.8315,27.7804,exact,,bioenergy
Chisumbanje Biomass power station,1,bioenergy_-_agricultural_waste,,,225.0,cancelled,,no conversion,Green Fuel,,Zimbabwe,https://gem.wiki/Chisumbanje_Biomass_power_station,-20.7693,32.2297,approximate,,bioenergy
Hippo Valley Estate power station,1,bioenergy_-_agricultural_waste,,,39.0,operating,,no conversion,Hippo Valley Estates PVT LTD,,Zimbabwe,https://gem.wiki/Hippo_Valley_Estate_power_station,-21.0708,31.6471,exact,,bioenergy
Triangle power station,1,bioenergy_-_agricultural_waste,,,35.0,operating,,no conversion,Triangle PVT LTD,,Zimbabwe,https://gem.wiki/Triangle_power_station,-21.0223,31.4423,exact,,bioenergy
Fresa Garruchos power station,1,bioenergy_-_wood_and_other_biomass,,,40.0,operating,2020.0,no conversion,Fresa (Fuentes Renovables de Energía SA),Fresa (Fuentes Renovables de Energía SA),Argentina,https://gem.wiki/Fresa_Garruchos_power_station,-27.9473,-56.0008,exact,,bioenergy
Ingenio Tabacal power station,1,bioenergy_-_agricultural_waste,,,40.0,operating,2011.0,no conversion,Ingenio y Refinería San Martín del Tabacal SRL,Ingenio y Refinería San Martín del Tabacal SRL,Argentina,https://gem.wiki/Ingenio_Tabacal_power_station,-23.2537,-64.2413,exact,,bioenergy
La Florida power station,1,bioenergy_-_agricultural_waste,,,30.0,construction,2023.0,no conversion,Compañía Azucarera Los Balcanes,Compañía Azucarera Los Balcanes,Argentina,https://gem.wiki/La_Florida_power_station,-26.8173,-65.0852,exact,,bioenergy
La Florida power station,2,bioenergy_-_agricultural_waste,,,32.0,construction,2023.0,no conversion,Compañía Azucarera Los Balcanes,Compañía Azucarera Los Balcanes,Argentina,https://gem.wiki/La_Florida_power_station,-26.8173,-65.0852,exact,,bioenergy
Puerto Esperanza biomass power station,1,bioenergy_-_paper_mill_wastes,,,44.0,operating,2010.0,no conversion,Arauco Argentina S.A.,Alto Paraná SA,Argentina,https://gem.wiki/Puerto_Esperanza_biomass_power_station,-25.9899,-54.6366,exact,,bioenergy
Puerto Piray power station,1,bioenergy_-_wood_and_other_biomass,,,38.0,operating,2009.0,no conversion,Arauco Argentina S.A.,Alto Paraná SA,Argentina,https://gem.wiki/Puerto_Piray_power_station,-26.4807,-54.716,exact,,bioenergy
