project,type,country,unit,plant_local,status,capacity,subnational,region,start_year,owner,parent,lat,lng,url
Río Turbio power station,coal,Argentina,Unit 1,Central Térmica Río Turbio,operating,120,Santa Cruz,Americas,2022,Yacimientos Carboníferos de Río Turbio SA,Yacimientos Carboníferos de Río Turbio SA,-51.54601,-72.23126,https://www.gem.wiki/R%C3%ADo_Turbio_power_station
Río Turbio power station,coal,Argentina,Unit 2,Central Térmica Río Turbio,construction,120,Santa Cruz,Americas,2023,Yacimientos Carboníferos de Río Turbio SA,Yacimientos Carboníferos de Río Turbio SA,-51.54601,-72.23126,https://www.gem.wiki/R%C3%ADo_Turbio_power_station
San Nicolás power station,coal,Argentina,Phase 2 Unit 11,Central Térmica San Nicolás,operating,375,Buenos Aires,Americas,1983,AES Argentina,AES Corp,-33.35492,-60.17292,https://www.gem.wiki/San_Nicolás_power_station
Anglesea power station,coal,Australia,Unit 1,,retired,160,Victoria,Oceania,1969,Alcoa of Australia,Alcoa Corp,-38.38655,144.18206,https://www.gem.wiki/Anglesea_power_station
Arckaringa Coal-to-Liquids and Power Project,coal,Australia,Phase I,,cancelled,560,South Australia,Oceania,,Altona Energy,Altona Resources,-27.93893,134.72609,https://www.gem.wiki/Arckaringa_Coal-to-Liquids_and_Power_Project
Arckaringa Coal-to-Liquids and Power Project,coal,Australia,Phase II,,cancelled,280,South Australia,Oceania,,Altona Energy,Altona Resources,-27.93893,134.72609,https://www.gem.wiki/Arckaringa_Coal-to-Liquids_and_Power_Project
Bayswater power station,coal,Australia,Plant B,,cancelled,2000,New South Wales,Oceania,,AGL Macquarie Pty Ltd,AGL Energy Ltd,-32.395,150.9492,https://www.gem.wiki/Bayswater_power_station
Bayswater power station,coal,Australia,Unit 1,,operating,685,New South Wales,Oceania,1985,AGL Macquarie Pty Ltd,AGL Energy Ltd,-32.39404,150.95008,https://www.gem.wiki/Bayswater_power_station
Bayswater power station,coal,Australia,Unit 2,,operating,660,New South Wales,Oceania,1985,AGL Macquarie Pty Ltd,AGL Energy Ltd,-32.39404,150.95008,https://www.gem.wiki/Bayswater_power_station
Bayswater power station,coal,Australia,Unit 3,,operating,660,New South Wales,Oceania,1986,AGL Macquarie Pty Ltd,AGL Energy Ltd,-32.39404,150.95008,https://www.gem.wiki/Bayswater_power_station
Bayswater power station,coal,Australia,Unit 4,,operating,660,New South Wales,Oceania,1986,AGL Macquarie Pty Ltd,AGL Energy Ltd,-32.39404,150.95008,https://www.gem.wiki/Bayswater_power_station
Bluewaters power station,coal,Australia,Unit 1,,operating,233,Western Australia,Oceania,2009,Summit Southern Cross Power Holdings,Kansai Electric Power Co; Sumitomo Corp,-33.33219,116.22802,https://www.gem.wiki/Bluewaters_power_station
Bluewaters power station,coal,Australia,Unit 2,,operating,233,Western Australia,Oceania,2009,Summit Southern Cross Power Holdings,Kansai Electric Power Co; Sumitomo Corp,-33.33219,116.22802,https://www.gem.wiki/Bluewaters_power_station
Bluewaters power station,coal,Australia,Unit 3,,cancelled,208,Western Australia,Oceania,,Summit Southern Cross Power Holdings,Kansai Electric Power Co; Sumitomo Corp,-33.33219,116.22802,https://www.gem.wiki/Bluewaters_power_station
Bluewaters power station,coal,Australia,Unit 4,,cancelled,208,Western Australia,Oceania,,Summit Southern Cross Power Holdings,Kansai Electric Power Co; Sumitomo Corp,-33.33219,116.22802,https://www.gem.wiki/Bluewaters_power_station
Callide Oxyfuel Project,coal,Australia,,,retired,30,Queensland,Oceania,2012,CS Energy Ltd,CS Energy Ltd,-24.34722,150.61711,https://www.gem.wiki/Callide_Oxyfuel_Project
Callide power station,coal,Australia,Phase B Unit 1,,operating,350,Queensland,Oceania,1989,CS Energy Ltd,CS Energy Ltd,-24.34722,150.61711,https://www.gem.wiki/Callide_power_station
Callide power station,coal,Australia,Phase B Unit 2,,operating,350,Queensland,Oceania,1989,CS Energy Ltd,CS Energy Ltd,-24.34722,150.61711,https://www.gem.wiki/Callide_power_station
Callide power station,coal,Australia,Phase C Unit 1,,operating,460,Queensland,Oceania,2001,IG Power (Callide) Ltd [50.0%]; CS Energy Ltd [50.0%],CS Energy Ltd [50.0%]; China Huaneng Group [25.0%]; InterGen NV [25.0%],-24.34722,150.61711,https://www.gem.wiki/Callide_power_station
Callide power station,coal,Australia,Phase C Unit 2,,mothballed,460,Queensland,Oceania,2001,IG Power (Callide) Ltd [50.0%]; CS Energy Ltd [50.0%],CS Energy Ltd [50.0%]; China Huaneng Group [25.0%]; InterGen NV [25.0%],-24.34722,150.61711,https://www.gem.wiki/Callide_power_station
Collie power station,coal,Australia,Unit 1,,operating,350,Western Australia,Oceania,1999,Verve Energy,Verve Energy,-33.34309,116.26085,https://www.gem.wiki/Collie_power_station
Collinsville (Shine Energy) power station,coal,Australia,,,pre-permit,1000,New South Wales,Oceania,2025,Shine Energy,Shine Energy,-20.54505,147.80456,https://www.gem.wiki/Collinsville_(Shine_Energy)_power_station
Collinsville power station,coal,Australia,Unit 1,,retired,30,Queensland,Oceania,1968,Ratch-Australia Corp Ltd,RATCH Group PLC,-20.54505,147.80456,https://www.gem.wiki/Collinsville_power_station
Collinsville power station,coal,Australia,Unit 2,,retired,30,Queensland,Oceania,1968,Ratch-Australia Corp Ltd,RATCH Group PLC,-20.54505,147.80456,https://www.gem.wiki/Collinsville_power_station
Collinsville power station,coal,Australia,Unit 3,,retired,30,Queensland,Oceania,1970,Ratch-Australia Corp Ltd,RATCH Group PLC,-20.54505,147.80456,https://www.gem.wiki/Collinsville_power_station
Collinsville power station,coal,Australia,Unit 4,,retired,30,Queensland,Oceania,1971,Ratch-Australia Corp Ltd,RATCH Group PLC,-20.54505,147.80456,https://www.gem.wiki/Collinsville_power_station
Collinsville power station,coal,Australia,Unit 5,,retired,60,Queensland,Oceania,1974,Ratch-Australia Corp Ltd,RATCH Group PLC,-20.54505,147.80456,https://www.gem.wiki/Collinsville_power_station
