project,unit,project_local,type,capacity,units,status,start_year,operator,owner,country,url,lat,lng,accuracy,region,subregion
Karkar geothermal power plant,,Կարկառի երկրաջերմաէլեկտրակայան,geothermal,40,MW,announced,,Sumes GeoPower AG,Sumes GeoPower AG,Armenia,https://gem.wiki/Karkar_geothermal_power_plant,39.7847,45.9419,exact,Asia,Western Asia
Limestone Coast geothermal power plant,1,,geothermal,50,MW,cancelled,,Scopenergy LTD,Scopenergy LTD,Australia,https://gem.wiki/Limestone_Coast_geothermal_power_plant,-37.0471,140.0019,approximate,Oceania,Australia and New Zealand
Thakurgain geothermal plant,,,geothermal,200,MW,announced,,,Anglo MGH Energy,Bangladesh,https://gem.wiki/Thakurgain_geothermal_plant,24.4769,90.2934,approximate,Asia,Southern Asia
Laguna Colorada geothermal power plant,1,Central geotérmica Laguna Colorada,geothermal,50,MW,pre-construction,,Empresa Nacional de Electricidad SA (ENDE),Empresa Nacional de Electricidad SA (ENDE),Bolivia,https://gem.wiki/Laguna_Colorada_geothermal_power_plant,-22.4429,-67.806,approximate,Americas,Latin America and the Caribbean
Laguna Colorada geothermal power plant,2,Central geotérmica Laguna Colorada,geothermal,50,MW,pre-construction,,Empresa Nacional de Electricidad SA (ENDE),Empresa Nacional de Electricidad SA (ENDE),Bolivia,https://gem.wiki/Laguna_Colorada_geothermal_power_plant,-22.4429,-67.806,approximate,Americas,Latin America and the Caribbean
Estevan geothermal power plant,4,,geothermal,35,MW,announced,,DEEP Earth Energy Production Corp. (DEEP),DEEP Earth Energy Production Corp. (DEEP),Canada,https://gem.wiki/Estevan_geothermal_power_plant,49.139,-102.9849,approximate,Americas,Northern America
Meager Creek geothermal power plant,Future units,,geothermal,100,MW,announced,2025.0,Meager Creek Development CORP,Meager Creek Development CORP,Canada,https://gem.wiki/Meager_Creek_geothermal_power_plant,50.5754,-123.4646,approximate,Americas,Northern America
Cerro Pabellón geothermal power plant,3,Central geotérmica Cerro Pabellón,geothermal,33,MW,operating,2021.0,Geotérmica Del Norte (GDN),Empresa Nacional Del Petróleo (ENAP) [50%]; Enel Chile [50%],Chile,https://gem.wiki/Cerro_Pabellón_geothermal_power_plant,-21.8576,-68.1515,exact,Americas,Latin America and the Caribbean
Mariposa geothermal power plant,1,Central geotérmica Mariposa,geothermal,50,MW,pre-construction,2024.0,Energy Development CORP (EDC),Energy Development CORP (EDC),Chile,https://gem.wiki/Mariposa_geothermal_power_plant,-35.5404,-71.4849,approximate,Americas,Latin America and the Caribbean
Mariposa geothermal power plant,2,Central geotérmica Mariposa,geothermal,50,MW,pre-construction,2024.0,Energy Development CORP (EDC),Energy Development CORP (EDC),Chile,https://gem.wiki/Mariposa_geothermal_power_plant,-35.5404,-71.4849,approximate,Americas,Latin America and the Caribbean
Nereidas Valley geothermal power plant,,,geothermal,75,MW,pre-construction,,,Ecopetrol SA; Baker Hughers; Central Hidroeléctrica de Caldas (CHEC),Colombia,https://gem.wiki/Nereidas_Valley_geothermal_power_plant,5.0438,-75.5246,approximate,Americas,Latin America and the Caribbean
Borinquen geothermal power project,1,Central geotérmica Borinquen,geothermal,55,MW,pre-construction,2027.0,Costa Rican Electricity Institute (ICE),Costa Rican Electricity Institute (ICE),Costa Rica,https://gem.wiki/Borinquen_geothermal_power_project,10.6344,-85.4397,approximate,Americas,Latin America and the Caribbean
Borinquen geothermal power project,2,Central geotérmica Borinquen,geothermal,55,MW,pre-construction,2027.0,Costa Rican Electricity Institute (ICE),Costa Rican Electricity Institute (ICE),Costa Rica,https://gem.wiki/Borinquen_geothermal_power_project,10.6344,-85.4397,approximate,Americas,Latin America and the Caribbean
Las Pailas geothermal power plant,1,Planta geotérmica Las Pailas,geothermal,35,MW,operating,2011.0,Costa Rican Electricity Institute (ICE),Costa Rican Electricity Institute (ICE),Costa Rica,https://gem.wiki/Las_Pailas_geothermal_power_plant,10.7573,-85.3596,exact,Americas,Latin America and the Caribbean
Las Pailas geothermal power plant,2,Planta geotérmica Las Pailas,geothermal,55,MW,operating,2019.0,Costa Rican Electricity Institute (ICE),Costa Rican Electricity Institute (ICE),Costa Rica,https://gem.wiki/Las_Pailas_geothermal_power_plant,10.758,-85.3464,exact,Americas,Latin America and the Caribbean
Miravalles geothermal power plant,1,Planta geotérmica Miravalles,geothermal,55,MW,operating,1994.0,Costa Rican Electricity Institute (ICE),Costa Rican Electricity Institute (ICE),Costa Rica,https://gem.wiki/Miravalles_geothermal_power_plant,10.7002,-85.1944,exact,Americas,Latin America and the Caribbean
Miravalles geothermal power plant,2,Planta geotérmica Miravalles,geothermal,55,MW,operating,1998.0,Costa Rican Electricity Institute (ICE),Costa Rican Electricity Institute (ICE),Costa Rica,https://gem.wiki/Miravalles_geothermal_power_plant,10.7002,-85.1944,exact,Americas,Latin America and the Caribbean
Roseau Valley 2 geothermal power plant,,,geothermal,120,MW,announced,2026.0,,,Dominica,https://gem.wiki/Roseau_Valley_2_geothermal_power_plant,15.3001,-61.3691,approximate,Americas,Latin America and the Caribbean
Chachimbiro geothermal power plant,,Proyecto geotérmico Chachimbiro,geothermal,50,MW,pre-construction,2026.0,Corporación Eléctrica del Ecuador (CELEC EP),Corporación Eléctrica del Ecuador (CELEC EP),Ecuador,https://gem.wiki/Chachimbiro_geothermal_power_plant,0.4599,-78.2364,approximate,Americas,Latin America and the Caribbean
Ahuachapán geothermal power plant,1,Central geotérmica Ahuachapán,geothermal,30,MW,operating,1975.0,LaGeo,LaGeo,El Salvador,https://gem.wiki/Ahuachapán_geothermal_power_plant,13.9202,-89.8174,exact,Americas,Latin America and the Caribbean
Ahuachapán geothermal power plant,2,Central geotérmica Ahuachapán,geothermal,30,MW,operating,1976.0,LaGeo,LaGeo,El Salvador,https://gem.wiki/Ahuachapán_geothermal_power_plant,13.9202,-89.8174,exact,Americas,Latin America and the Caribbean
Ahuachapán geothermal power plant,3,Central geotérmica Ahuachapán,geothermal,35,MW,operating,1980.0,LaGeo,LaGeo,El Salvador,https://gem.wiki/Ahuachapán_geothermal_power_plant,13.9202,-89.8174,exact,Americas,Latin America and the Caribbean
Berlín geothermal power plant,,Central geotérmica Berlín,geothermal,40,MW,operating,2007.0,LaGeo,LaGeo,El Salvador,https://gem.wiki/Berlín_geothermal_power_plant,13.5248,-88.5073,exact,Americas,Latin America and the Caribbean
Volcán de Conchagua geothermal power plant,,Central geotérmica Volcán de Conchagua,geothermal,30,MW,announced,,LaGeo,LaGeo,El Salvador,https://gem.wiki/Volcán_de_Conchagua_geothermal_power_plant,13.2753,-87.8462,approximate,Americas,Latin America and the Caribbean
Aluto Langano geothermal power plant,Future units,,geothermal,70,MW,construction,,Ethiopian Electric Power (EEP),Ethiopian Electric Power (EEP),Ethiopia,https://gem.wiki/Aluto_Langano_geothermal_power_plant,7.7888,38.7952,exact,Africa,Sub-Saharan Africa
