project,type,country,unit,status,capacity,start_year,owner,lat,lng,url
Atucha nuclear power plant,nuclear,Argentina,1,operating,362.0,1974.0,Nucleoelectrica Argentina SA,-33.96701,-59.2095,https://gem.wiki/Atucha_nuclear_power_plant
Atucha nuclear power plant,nuclear,Argentina,2,mothballed,745.0,2016.0,Nucleoelectrica Argentina SA,-33.9672,-59.2073,https://gem.wiki/Atucha_nuclear_power_plant
Atucha nuclear power plant,nuclear,Argentina,3,pre-construction,1150.0,2029.0,China National Nuclear CORP [85%]; Nucleoelectrica Argentina SA [15%],-33.9672,-59.2075,https://gem.wiki/Atucha_nuclear_power_plant
CAREM nuclear power plant,nuclear,Argentina,,construction,29.0,2023.0,Comision Nacional De Energia Atomica,-33.9678,-59.21301,https://gem.wiki/CAREM_nuclear_power_plant
Embalse nuclear power plant,nuclear,Argentina,,operating,656.0,1984.0,Nucleoelectrica Argentina SA,-32.2316,-64.4422,https://gem.wiki/Embalse_nuclear_power_plant
Armenian nuclear power plant,nuclear,Armenia,1,retired,408.0,1977.0,Ministry Of Territorial Administration And Infrastructure,40.1817,44.1423,https://gem.wiki/Armenian_nuclear_power_plant
Armenian nuclear power plant,nuclear,Armenia,2,operating,448.0,1980.0,Ministry Of Territorial Administration And Infrastructure,40.1817,44.1423,https://gem.wiki/Armenian_nuclear_power_plant
Armenian nuclear power plant,nuclear,Armenia,3,announced,1200.0,,,40.1817,44.1423,https://gem.wiki/Armenian_nuclear_power_plant
Zwentendorf nuclear power plant,nuclear,Austria,1,cancelled,723.0,,,48.3546,15.88501,https://gem.wiki/Zwentendorf_nuclear_power_plant
Navai New nuclear power plant,nuclear,Azerbaijan,1,cancelled,1500.0,,,40.0161,49.1355,https://gem.wiki/Navai_New_nuclear_power_plant
Navai Original nuclear power plant,nuclear,Azerbaijan,1,cancelled,1000.0,,,40.0161,49.1355,https://gem.wiki/Navai_Original_nuclear_power_plant
Rooppur nuclear power plant,nuclear,Bangladesh,1,construction,1200.0,2024.0,Bangladesh Atomic Energy Commission,24.0656,89.0453,https://gem.wiki/Rooppur_nuclear_power_plant
Rooppur nuclear power plant,nuclear,Bangladesh,2,construction,1200.0,2023.0,Bangladesh Atomic Energy Commission,24.0656,89.0453,https://gem.wiki/Rooppur_nuclear_power_plant
Astravets nuclear power plant,nuclear,Belarus,1,operating,1194.0,2021.0,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",54.7598,26.0937,https://gem.wiki/Astravets_nuclear_power_plant
