project,capacity,unit,type,status,start_year,owner,operator,lat,lng,accuracy,url,country,region,subregion
Baghdara hydroelectric plant,227,MW,hydropower,pre-construction,,Ministry of Energy and Water Afghanistan,,33.768,66.2385,approximate,https://gem.wiki/Baghdara_hydroelectric_plant,Afghanistan,Asia,Southern Asia
Naghlu hydroelectric plant,94,MW,hydropower,operating,1967.0,Ministry of Energy and Water Afghanistan,,34.6414,69.7171,exact,https://gem.wiki/Naghlu_hydroelectric_plant,Afghanistan,Asia,Southern Asia
Sarobi 2 hydroelectric plant,180,MW,hydropower,inactive,,Ministry of Energy and Water Afghanistan,,34.5894,69.7608,approximate,https://gem.wiki/Sarobi_2_hydroelectric_plant,Afghanistan,Asia,Southern Asia
Fierza hydroelectric plant,500,MW,hydropower,operating,1980.0,KESH,,42.2514,20.0431,exact,https://gem.wiki/Fierza_hydroelectric_plant,Albania,Europe,Southern Europe
Kalivaci hydroelectric plant,108,MW,hydropower,shelved,,,,40.4006,19.7988,exact,https://gem.wiki/Kalivaci_hydroelectric_plant,Albania,Europe,Southern Europe
Komani hydroelectric plant,600,MW,hydropower,operating,1985.0,KESH,,42.1033,19.8224,exact,https://gem.wiki/Komani_hydroelectric_plant,Albania,Europe,Southern Europe
Moglicë hydroelectric plant,197,MW,hydropower,operating,2020.0,Statkraft AS,Statkraft AS,40.6928,20.4406,exact,https://gem.wiki/Moglicë_hydroelectric_plant,Albania,Europe,Southern Europe
Poçem hydroelectric plant,102,MW,hydropower,pre-construction,,,,40.3515,19.973,exact,https://gem.wiki/Poçem_hydroelectric_plant,Albania,Europe,Southern Europe
Shala hydroelectric plant,128,MW,hydropower,pre-construction,,,,42.2829,19.7992,exact,https://gem.wiki/Shala_hydroelectric_plant,Albania,Europe,Southern Europe
Skavica hydroelectric plant,210,MW,hydropower,pre-construction,,KESH,,41.9433,20.3653,exact,https://gem.wiki/Skavica_hydroelectric_plant,Albania,Europe,Southern Europe
Vau i Dejës hydroelectric plant,250,MW,hydropower,operating,1973.0,KESH,,42.0136,19.6358,exact,https://gem.wiki/Vau_i_Dejës_hydroelectric_plant,Albania,Europe,Southern Europe
Caculo Cabaca hydroelectric plant,2040,MW,hydropower,construction,2024.0,China Gezhouba Group CO LTD,,-9.7296,14.8163,approximate,https://gem.wiki/Caculo_Cabaca_hydroelectric_plant,Angola,Africa,Sub-Saharan Africa
Cambambe I hydroelectric plant,180,MW,hydropower,operating,1962.0,PRODEL,,-9.7503,14.4819,exact,https://gem.wiki/Cambambe_I_hydroelectric_plant,Angola,Africa,Sub-Saharan Africa
Cambambe II hydroelectric plant,700,MW,hydropower,operating,2017.0,PRODEL,,-9.7383,14.4854,exact,https://gem.wiki/Cambambe_II_hydroelectric_plant,Angola,Africa,Sub-Saharan Africa
Capanda hydroelectric plant,520,MW,hydropower,operating,2004.0,PRODEL,,-9.7933,15.4635,exact,https://gem.wiki/Capanda_hydroelectric_plant,Angola,Africa,Sub-Saharan Africa
Jamba ia Mina hydroelectric plant,224,MW,hydropower,shelved,,PRODEL,,-13.8001,15.4622,approximate,https://gem.wiki/Jamba_ia_Mina_hydroelectric_plant,Angola,Africa,Sub-Saharan Africa
Laúca hydroelectric plant,2070,MW,hydropower,operating,2017.0,PRODEL,,-9.7449,15.1251,exact,https://gem.wiki/Laúca_hydroelectric_plant,Angola,Africa,Sub-Saharan Africa
Agua Del Toro hydroelectric plant,150,MW,hydropower,operating,1974.0,Pampa Energía SA,,-34.5839,-69.0362,exact,https://gem.wiki/Agua_Del_Toro_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Alicura hydroelectric plant,1040,MW,hydropower,operating,1984.0,AES Energía,AES Energía Argentina,-40.5841,-70.7476,exact,https://gem.wiki/Alicura_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Arroyito hydroelectric plant,128,MW,hydropower,operating,1983.0,Enel Generación,Enel Generación,-39.1067,-68.5857,exact,https://gem.wiki/Arroyito_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Cabra Corral hydroelectric plant,104,MW,hydropower,operating,1972.0,AES Energía,AES Energía Argentina,-25.2716,-65.3299,exact,https://gem.wiki/Cabra_Corral_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Cacheuta Nueva hydroelectric plant,120,MW,hydropower,operating,2002.0,,,-33.0291,-69.1109,exact,https://gem.wiki/Cacheuta_Nueva_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
