project,unit,capacity,type,status,start_year,owner,operator,country,url,lat,lng,accuracy
Atucha nuclear power plant,1,362.0,nuclear,operating,1974.0,Nucleoelectrica Argentina SA,Nucleoelectrica Argentina SA,Argentina,https://gem.wiki/Atucha_nuclear_power_plant,-33.96701,-59.2095,Exact
Atucha nuclear power plant,2,745.0,nuclear,mothballed,2016.0,Nucleoelectrica Argentina SA,Nucleoelectrica Argentina SA,Argentina,https://gem.wiki/Atucha_nuclear_power_plant,-33.9672,-59.2073,Exact
Atucha nuclear power plant,3,1150.0,nuclear,pre-construction,2029.0,China National Nuclear CORP [85%]; Nucleoelectrica Argentina SA [15%],Nucleoelectrica Argentina SA,Argentina,https://gem.wiki/Atucha_nuclear_power_plant,-33.9672,-59.2075,Exact
CAREM nuclear power plant,,29.0,nuclear,construction,2023.0,Comision Nacional De Energia Atomica,Comision Nacional De Energia Atomica,Argentina,https://gem.wiki/CAREM_nuclear_power_plant,-33.9678,-59.21301,Exact
Embalse nuclear power plant,,656.0,nuclear,operating,1984.0,Nucleoelectrica Argentina SA,Nucleoelectrica Argentina SA,Argentina,https://gem.wiki/Embalse_nuclear_power_plant,-32.2316,-64.4422,Exact
Armenian nuclear power plant,1,408.0,nuclear,retired,1977.0,Ministry Of Territorial Administration And Infrastructure,Closed Joint Stock Company Armenian NPP,Armenia,https://gem.wiki/Armenian_nuclear_power_plant,40.1817,44.1423,Exact
Armenian nuclear power plant,2,448.0,nuclear,operating,1980.0,Ministry Of Territorial Administration And Infrastructure,Closed Joint Stock Company Armenian NPP,Armenia,https://gem.wiki/Armenian_nuclear_power_plant,40.1817,44.1423,Exact
Armenian nuclear power plant,3,1200.0,nuclear,announced,,,,Armenia,https://gem.wiki/Armenian_nuclear_power_plant,40.1817,44.1423,Exact
Zwentendorf nuclear power plant,1,723.0,nuclear,cancelled,,,Tullnerfeld GMBH,Austria,https://gem.wiki/Zwentendorf_nuclear_power_plant,48.3546,15.88501,Exact
Navai New nuclear power plant,1,1500.0,nuclear,cancelled,,,,Azerbaijan,https://gem.wiki/Navai_New_nuclear_power_plant,40.0161,49.1355,Approximate
Navai Original nuclear power plant,1,1000.0,nuclear,cancelled,,,,Azerbaijan,https://gem.wiki/Navai_Original_nuclear_power_plant,40.0161,49.1355,Approximate
Rooppur nuclear power plant,1,1200.0,nuclear,construction,2024.0,Bangladesh Atomic Energy Commission,Nuclear Power Plant Company Bangladesh LTD,Bangladesh,https://gem.wiki/Rooppur_nuclear_power_plant,24.0656,89.0453,Exact
Rooppur nuclear power plant,2,1200.0,nuclear,construction,2023.0,Bangladesh Atomic Energy Commission,Nuclear Power Plant Company Bangladesh LTD,Bangladesh,https://gem.wiki/Rooppur_nuclear_power_plant,24.0656,89.0453,Exact
Astravets nuclear power plant,1,1194.0,nuclear,operating,2021.0,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""","Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",Belarus,https://gem.wiki/Astravets_nuclear_power_plant,54.7598,26.0937,Exact
Astravets nuclear power plant,2,1194.0,nuclear,construction,2023.0,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""","Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",Belarus,https://gem.wiki/Astravets_nuclear_power_plant,54.7598,26.0937,Exact
Minsk nuclear power plant,1,1000.0,nuclear,cancelled,,,,Belarus,https://gem.wiki/Minsk_nuclear_power_plant,53.7208,28.0445,Approximate
Minsk nuclear power plant,2,1000.0,nuclear,cancelled,,,,Belarus,https://gem.wiki/Minsk_nuclear_power_plant,53.7208,28.0445,Approximate
BR3 nuclear power plant,3,12.0,nuclear,retired,1962.0,Centre D'Etude De L'Energie Nucleaire; Studiecentrum Voor Kernenergie,Centre D'Etude De L'Energie Nucleaire; Studiecentrum Voor Kernenergie,Belgium,https://gem.wiki/BR3_nuclear_power_plant,51.2169,5.0998,Exact
Doel nuclear power plant,1,454.0,nuclear,operating,1975.0,Indivision Doel,Engie Electrabel; EDF Belgium; EDF Luminus,Belgium,https://gem.wiki/Doel_nuclear_power_plant,51.3254,4.2597,Exact
Doel nuclear power plant,2,454.0,nuclear,operating,1975.0,Indivision Doel,Engie Electrabel; EDF Belgium; EDF Luminus,Belgium,https://gem.wiki/Doel_nuclear_power_plant,51.3254,4.2597,Exact
Doel nuclear power plant,3,1056.0,nuclear,retired,1982.0,Societes Reunies D'Energie Du Bassin De L'Escaut SA,Engie Electrabel; EDF Belgium; EDF Luminus,Belgium,https://gem.wiki/Doel_nuclear_power_plant,51.3254,4.2597,Exact
Doel nuclear power plant,4,1090.0,nuclear,operating,1985.0,Societes Reunies D'Energie Du Bassin De L'Escaut SA,Engie Electrabel; EDF Belgium; EDF Luminus,Belgium,https://gem.wiki/Doel_nuclear_power_plant,51.3254,4.2597,Exact
Tihange nuclear power plant,1,1009.0,nuclear,operating,1975.0,Engie Electrabel,Engie Electrabel,Belgium,https://gem.wiki/Tihange_nuclear_power_plant,50.5334,5.2714,Exact
Tihange nuclear power plant,2,1055.0,nuclear,retired,1983.0,Engie Electrabel,Engie Electrabel,Belgium,https://gem.wiki/Tihange_nuclear_power_plant,50.5334,5.2714,Exact
Tihange nuclear power plant,3,1089.0,nuclear,operating,1985.0,Engie Electrabel,Engie Electrabel,Belgium,https://gem.wiki/Tihange_nuclear_power_plant,50.5334,5.2714,Exact
Angra nuclear power plant,1,640.0,nuclear,operating,1985.0,Eletrobras Eletronuclear SA,Eletrobras Eletronuclear SA,Brazil,https://gem.wiki/Angra_nuclear_power_plant,-23.0069,-44.4585,Exact
Angra nuclear power plant,2,1350.0,nuclear,operating,2001.0,Eletrobras Eletronuclear SA,Eletrobras Eletronuclear SA,Brazil,https://gem.wiki/Angra_nuclear_power_plant,-23.0077,-44.4598,Exact
Angra nuclear power plant,3,1405.0,nuclear,construction,2028.0,Eletrobras Eletronuclear SA,Eletrobras Eletronuclear SA,Brazil,https://gem.wiki/Angra_nuclear_power_plant,-23.0091,-44.47201,Exact
Belene nuclear power plant,1,1000.0,nuclear,pre-construction,,,,Bulgaria,https://gem.wiki/Belene_nuclear_power_plant,43.6294,25.1867,Exact
Belene nuclear power plant,2,1000.0,nuclear,pre-construction,,,,Bulgaria,https://gem.wiki/Belene_nuclear_power_plant,43.6294,25.1867,Exact
Belene Original nuclear power plant,1,1000.0,nuclear,cancelled,,,,Bulgaria,https://gem.wiki/Belene_Original_nuclear_power_plant,43.6294,25.1867,Exact
Belene Original nuclear power plant,2,1000.0,nuclear,cancelled,,,,Bulgaria,https://gem.wiki/Belene_Original_nuclear_power_plant,43.6294,25.1867,Exact
Kozloduy nuclear power plant,1,440.0,nuclear,retired,1974.0,DP RAO (State Enterprise “Radio Active Waste”),,Bulgaria,https://gem.wiki/Kozloduy_nuclear_power_plant,43.7497,23.7685,Exact
Kozloduy nuclear power plant,2,440.0,nuclear,retired,1975.0,DP RAO (State Enterprise “Radio Active Waste”),,Bulgaria,https://gem.wiki/Kozloduy_nuclear_power_plant,43.7497,23.7685,Exact
Kozloduy nuclear power plant,3,440.0,nuclear,retired,1981.0,DP RAO (State Enterprise “Radio Active Waste”),,Bulgaria,https://gem.wiki/Kozloduy_nuclear_power_plant,43.7497,23.7685,Exact
