project,type,country,unit,status,capacity,start_year,owner,lat,lng,url
Aboño power station,coal,Spain,Unit 1,operating,360,1974,HC Energia,43.55356,-5.72185,https://www.gem.wiki/Abo%C3%B1o_power_station
Aboño power station,coal,Spain,Unit 2,operating,556.2,1985,HC Energia,43.55356,-5.72185,https://www.gem.wiki/Abo%C3%B1o_power_station
Alcúdia power station,coal,Spain,Phase 2 Unit 1,retired,125,1981,GESA-Endesa,39.81075,3.09141,https://www.gem.wiki/Alcúdia_power_station
Alcúdia power station,coal,Spain,Phase 2 Unit 2,retired,125,1982,GESA-Endesa,39.81075,3.09141,https://www.gem.wiki/Alcúdia_power_station
Alcúdia power station,coal,Spain,Phase 2 Unit 3,operating,130,1997,GESA-Endesa,39.81075,3.09141,https://www.gem.wiki/Alcúdia_power_station
Alcúdia power station,coal,Spain,Phase 2 Unit 4,operating,130,1997,GESA-Endesa,39.81075,3.09141,https://www.gem.wiki/Alcúdia_power_station
Anllares power station,coal,Spain,Unit 1,retired,365,1982,Termicas de Anllares,42.83926,-6.53328,https://www.gem.wiki/Anllares_power_station
As Pontes power station,coal,Spain,Unit 1,operating,368.9,1976,Endesa SA,43.44139,-7.86258,https://www.gem.wiki/As_Pontes_power_station
As Pontes power station,coal,Spain,Unit 2,operating,366.4,1977,Endesa SA,43.44139,-7.86258,https://www.gem.wiki/As_Pontes_power_station
As Pontes power station,coal,Spain,Unit 3,retired,366.2,1978,Endesa SA,43.44139,-7.86258,https://www.gem.wiki/As_Pontes_power_station
As Pontes power station,coal,Spain,Unit 4,retired,367,1979,Endesa SA,43.44139,-7.86258,https://www.gem.wiki/As_Pontes_power_station
Bahia de Algeciras power station,coal,Spain,Unit 1,retired,220,1970,Uniper SE,36.184,-5.388,https://www.gem.wiki/Bahia_de_Algeciras_power_station
Bahia de Algeciras power station,coal,Spain,Unit 2,retired,533,1975,Uniper SE,36.184,-5.388,https://www.gem.wiki/Bahia_de_Algeciras_power_station
Cercs power station,coal,Spain,Unit 1,retired,160,1971,E.ON SE,42.1757,1.85681,https://www.gem.wiki/Cercs_power_station
Cogecan power station,coal,Spain,Unit 1,operating,45,1986,Sniace SA,43.34901,-4.04713,https://www.gem.wiki/Cogecan_power_station
Compostilla power station,coal,Spain,Unit 1,retired,141,1961,Endesa SA,42.61218,-6.56455,https://www.gem.wiki/Compostilla_power_station
Compostilla power station,coal,Spain,Unit 2,retired,147.9,1965,Endesa SA,42.61218,-6.56455,https://www.gem.wiki/Compostilla_power_station
Compostilla power station,coal,Spain,Unit 3,retired,337.2,1972,Endesa SA,42.61218,-6.56455,https://www.gem.wiki/Compostilla_power_station
Compostilla power station,coal,Spain,Unit 4,retired,358.6,1981,Endesa SA,42.61218,-6.56455,https://www.gem.wiki/Compostilla_power_station
Compostilla power station,coal,Spain,Unit 5,retired,355.9,1984,Endesa SA,42.61218,-6.56455,https://www.gem.wiki/Compostilla_power_station
Escatrón 3 power station,coal,Spain,Unit 5,retired,80,1953,Macquarie Viesgo,41.2971,-0.3399,https://www.gem.wiki/Escatr%C3%B3n_3_power_station
Escucha power station,coal,Spain,Unit 1,retired,160,1970,Macquarie Viesgo,40.79449,-0.81563,https://www.gem.wiki/Escucha_power_station
La Pereda Hunosa power station,coal,Spain,Unit 1,operating,50,1995,Hulleras Del Norte SA,43.2473,-5.75456,https://www.gem.wiki/La_Pereda_Hunosa_power_station
La Robla Fenosa power station,coal,Spain,Unit 1,retired,284,1971,Gas Natural Fenosa,42.79199,-5.63492,https://www.gem.wiki/La_Robla_Fenosa_power_station
La Robla Fenosa power station,coal,Spain,Unit 2,retired,371,1984,Gas Natural Fenosa,42.79199,-5.63492,https://www.gem.wiki/La_Robla_Fenosa_power_station
Lada power station,coal,Spain,Unit 3,retired,155,1967,Iberdrola SA,43.29636,-5.68254,https://www.gem.wiki/Lada_power_station
Lada power station,coal,Spain,Unit 4,retired,358,1981,Iberdrola SA,43.29636,-5.68254,https://www.gem.wiki/Lada_power_station
